award_id,agency,firm_name,firm_state,award_amount,award_date,award_year,phase,topic_code,primary_cet,primary_score,classification,supporting_cet_1,supporting_score_1,supporting_cet_2,supporting_score_2,text_length,has_abstract,has_solicitation
30018,NSF,Conley Engineering Inc.,WA,65000.0,1995-07-01,1995,Other,UNKNOWN,artificial_intelligence,77.11215080307728,High,biotechnology,19.486558640542352,advanced_materials,1.754299765132379,108,True,False
0338928,NSF,Deseret Electronics Research Corporation,UT,57714.0,2004-07-01,2004,Other,UNKNOWN,artificial_intelligence,64.73096577004625,Medium,biotechnology,22.922214565779964,semiconductors,9.06040010541394,1552,True,False
30038,NSF,"ATS-MER, LLC",AZ,65000.0,1995-07-01,1995,Other,UNKNOWN,artificial_intelligence,77.11215080307728,High,biotechnology,19.486558640542352,advanced_materials,1.754299765132379,108,True,False
18744,NSF,Physical Optics Corporation,CA,49988.0,1992-07-01,1992,Other,UNKNOWN,artificial_intelligence,77.11215080307728,High,biotechnology,19.486558640542352,advanced_materials,1.754299765132379,108,True,False
0839381,NSF,"COMPOSITE TECHNOLOGY DEVELOPMENT, INC.",CO,99949.0,2009-07-01,2009,Other,BC,advanced_materials,85.33370476744597,High,artificial_intelligence,10.151008089028373,biotechnology,3.532680131838619,2146,True,True
0944663,NSF,"AQWEST, LLC",CO,99993.0,2010-07-01,2010,Other,BC,artificial_intelligence,56.861504635589036,Medium,biotechnology,27.23842322868065,advanced_materials,14.165708643223587,1002,True,True
0839383,NSF,Luminex Corporation,TX,100000.0,2009-07-01,2009,Other,BC,artificial_intelligence,78.20597535803543,High,biotechnology,18.51023563002797,data_analytics,1.5208597149890286,1756,True,True
0946030,NSF,XIMAX Technologies Corporation Ltd,CO,199991.0,2010-07-01,2010,Other,IC,artificial_intelligence,81.25581539878549,High,semiconductors,7.093523629502749,biotechnology,5.352394815733225,1838,True,True
11723,NSF,"ADVANCED STRUCTURAL TECHNOLOGY, INC.",MO,49980.0,1990-07-01,1990,Other,UNKNOWN,artificial_intelligence,89.13838349845147,High,biotechnology,7.8350918686727375,data_analytics,1.4572706100340143,931,True,False
0127714,NSF,Barr-Mullin Inc.,NC,99835.0,2002-07-01,2002,Other,UNKNOWN,artificial_intelligence,90.23077504424761,High,biotechnology,4.982247626829973,semiconductors,1.9769794330048132,1341,True,False
1013097,NSF,Excelerant Ceramics,NY,150000.0,2010-07-01,2010,Other,BC,biotechnology,57.01355730569576,Medium,artificial_intelligence,29.66767974262272,advanced_materials,11.56523566059694,2477,True,True
43415,NSF,"Flow Metrix, Incorporated",MA,398008.0,1999-07-01,1999,Other,UNKNOWN,artificial_intelligence,77.11215080307728,High,biotechnology,19.486558640542352,advanced_materials,1.754299765132379,108,True,False
43479,NSF,"Pmd Scientific, Inc.",CT,398596.0,1999-07-01,1999,Other,UNKNOWN,artificial_intelligence,77.11215080307728,High,biotechnology,19.486558640542352,advanced_materials,1.754299765132379,108,True,False
9960319,NSF,"STOTTLER HENKE ASSOCIATES, INC",CA,99999.0,2000-07-01,2000,Other,UNKNOWN,artificial_intelligence,77.11215080307728,High,biotechnology,19.486558640542352,advanced_materials,1.754299765132379,108,True,False
1013625,NSF,"MICROFLUIDIC INNOVATIONS, LLC",IN,174430.0,2010-07-01,2010,Other,BC,artificial_intelligence,70.09574844283125,High,biotechnology,25.049835002776394,advanced_materials,2.588612119938114,2139,True,True
